slug,title,event_id,kickoff_utc,yes_market_question,yes_contract_won,n_windows_tape,n_windows_scored,n_flagged,n_buy_yes,n_sell_yes,n_unflagged,leg_yes_buy,leg_no_sell,leg_yes_sell,leg_no_buy,buy_yes_aligned,sell_yes_aligned,n_flagged_correct,n_flagged_wrong,flagged_windows_detail,rou1_window,status,error
chi-zhe-sgr-2026-03-14,Zhejiang Zhiye FC vs. Shanghai Shenhua FC,250398,2026-03-14T07:30:00+00:00,Will Zhejiang Zhiye FC win on 2026-03-14?,false,29,29,5,1,4,24,1,0,0,4,0,4,4,1,buy_yes:yes_buy@2026-03-14T09:00:00+00:00|p_end=0.3100; sell_yes:no_buy@2026-03-14T07:50:00+00:00|p_end=0.1900; sell_yes:no_buy@2026-03-14T08:00:00+00:00|p_end=0.1500; sell_yes:no_buy@2026-03-14T08:50:00+00:00|p_end=0.1100; sell_yes:no_buy@2026-03-14T09:20:00+00:00|p_end=0.1400,csl,ok,
chi-ton-tie-2026-03-14,Chongqing Tonglianglong FC vs. Liaoning Tieren FC,250399,2026-03-14T11:35:00+00:00,Will Chongqing Tonglianglong FC win on 2026-03-14?,true,29,29,5,5,0,24,5,0,0,0,5,0,5,0,buy_yes:yes_buy@2026-03-14T12:10:00+00:00|p_end=0.4550; buy_yes:yes_buy@2026-03-14T12:50:00+00:00|p_end=0.4700; buy_yes:yes_buy@2026-03-14T13:00:00+00:00|p_end=0.8850; buy_yes:yes_buy@2026-03-14T13:10:00+00:00|p_end=0.9050; buy_yes:yes_buy@2026-03-14T13:30:00+00:00|p_end=0.9940,csl,ok,
chi-xin-jin-2026-03-14,Shenzhen Xinpengcheng FC vs. Tianjin Jinmen Hu FC,250400,2026-03-14T12:00:00+00:00,Will Shenzhen Xinpengcheng FC vs. Tianjin Jinmen Hu FC end in a draw?,false,15,15,4,2,2,11,2,0,0,2,0,2,2,2,buy_yes:yes_buy@2026-03-14T12:50:00+00:00|p_end=0.4050; buy_yes:yes_buy@2026-03-14T13:30:00+00:00|p_end=0.5550; sell_yes:no_buy@2026-03-14T13:50:00+00:00|p_end=0.1250; sell_yes:no_buy@2026-03-14T14:00:00+00:00|p_end=0.0900,csl,ok,
chi-hen-yun-2026-03-15,Henan FC vs. Yunnan Yukun FC,250401,2026-03-15T07:30:00+00:00,Will Henan FC win on 2026-03-15?,true,29,29,4,2,2,25,2,0,0,2,2,0,2,2,buy_yes:yes_buy@2026-03-15T09:10:00+00:00|p_end=0.8200; buy_yes:yes_buy@2026-03-15T09:20:00+00:00|p_end=0.8850; sell_yes:no_buy@2026-03-15T08:50:00+00:00|p_end=0.3900; sell_yes:no_buy@2026-03-15T09:00:00+00:00|p_end=0.3550,csl,ok,
chi-shp-qin-2026-03-15,Shanghai Haigang FC vs. Qingdao Xihaian FC,250402,2026-03-15T11:00:00+00:00,Will Shanghai Haigang FC vs. Qingdao Xihaian FC end in a draw?,false,24,24,3,1,2,21,1,0,0,2,0,2,2,1,buy_yes:yes_buy@2026-03-15T11:50:00+00:00|p_end=0.3050; sell_yes:no_buy@2026-03-15T12:20:00+00:00|p_end=0.1300; sell_yes:no_buy@2026-03-15T12:30:00+00:00|p_end=0.0145,csl,ok,
chi-ron-hai-2026-03-15,Chengdu Rongcheng FC vs. Qingdao Hainiu FC,250403,2026-03-15T11:35:00+00:00,Will Qingdao Hainiu FC win on 2026-03-15?,false,23,23,2,1,1,21,1,0,0,1,0,1,1,1,buy_yes:yes_buy@2026-03-15T12:00:00+00:00|p_end=0.1250; sell_yes:no_buy@2026-03-15T13:10:00+00:00|p_end=0.0950,csl,ok,
chi-ygb-shp-2026-03-20,Dalian Yingbo FC vs. Shanghai Haigang FC,250404,2026-03-20T11:00:00+00:00,Will Shanghai Haigang FC win on 2026-03-20?,false,27,27,0,0,0,27,0,0,0,0,0,0,0,0,,csl,ok,
chi-hai-zhe-2026-03-20,Qingdao Hainiu FC vs. Zhejiang Zhiye FC,250405,2026-03-20T11:35:00+00:00,Will Zhejiang Zhiye FC win on 2026-03-20?,true,28,28,7,4,3,21,4,0,0,3,4,0,4,3,buy_yes:yes_buy@2026-03-20T12:40:00+00:00|p_end=0.1950; buy_yes:yes_buy@2026-03-20T13:00:00+00:00|p_end=0.7800; buy_yes:yes_buy@2026-03-20T13:10:00+00:00|p_end=0.9780; buy_yes:yes_buy@2026-03-20T13:20:00+00:00|p_end=0.9890; sell_yes:no_buy@2026-03-20T11:50:00+00:00|p_end=0.3550; sell_yes:no_buy@2026-03-20T12:00:00+00:00|p_end=0.3150; sell_yes:no_buy@2026-03-20T12:50:00+00:00|p_end=0.1600,csl,ok,
chi-tie-jin-2026-03-21,Liaoning Tieren FC vs. Tianjin Jinmen Hu FC,250406,2026-03-21T07:30:00+00:00,Will Liaoning Tieren FC win on 2026-03-21?,true,28,28,5,5,0,23,5,0,0,0,5,0,5,0,buy_yes:yes_buy@2026-03-21T08:00:00+00:00|p_end=0.6700; buy_yes:yes_buy@2026-03-21T08:10:00+00:00|p_end=0.6800; buy_yes:yes_buy@2026-03-21T08:20:00+00:00|p_end=0.7000; buy_yes:yes_buy@2026-03-21T09:10:00+00:00|p_end=0.7900; buy_yes:yes_buy@2026-03-21T09:20:00+00:00|p_end=0.9935,csl,ok,
chi-bgu-sgr-2026-03-21,Beijing Guoan FC vs. Shanghai Shenhua FC,250407,2026-03-21T07:30:00+00:00,Will Beijing Guoan FC win on 2026-03-21?,false,28,28,6,3,3,22,3,0,0,3,0,3,3,3,buy_yes:yes_buy@2026-03-21T07:50:00+00:00|p_end=0.4300; buy_yes:yes_buy@2026-03-21T08:20:00+00:00|p_end=0.6850; buy_yes:yes_buy@2026-03-21T08:50:00+00:00|p_end=0.6950; sell_yes:no_buy@2026-03-21T07:40:00+00:00|p_end=0.4200; sell_yes:no_buy@2026-03-21T09:00:00+00:00|p_end=0.2750; sell_yes:no_buy@2026-03-21T09:10:00+00:00|p_end=0.2200,csl,ok,
